Round Robin Summary
Battles simulated: 820
Average game length: 14.0720
Average swaps per game: 10.0646

Notes
- Winrates are appearance-based across team sides.
- Archetype refers to the AI team name/loadout.
- Last standing rate counts only wins where a single adventurer survived.
- Average game length per class is averaged across adventurer appearances of that class.

Class Winrate
name    | appearances | wins | losses | winrate
Vile Sabbath            | 205         | 124  | 81     | 0.6049 
Severed Tether          | 246         | 140  | 106    | 0.5691 
Devil's Due             | 205         | 114  | 91     | 0.5561 
Fell the Beanstalk      | 246         | 134  | 112    | 0.5447 
Fated Duel              | 164         | 89   | 75     | 0.5427 
Redemption              | 205         | 107  | 98     | 0.5220 
Deathlike Slumber       | 164         | 85   | 79     | 0.5183 
Thieve the First-Born   | 164         | 84   | 80     | 0.5122 
Stitch In Time          | 205         | 99   | 106    | 0.4829 
Clock Struck Twelve     | 164         | 79   | 85     | 0.4817 
Final Deception         | 164         | 78   | 86     | 0.4756 
Turn to Foam            | 205         | 92   | 113    | 0.4488 
Last Laugh              | 205         | 90   | 115    | 0.4390 
Unfettered              | 164         | 72   | 92     | 0.4390 
Slay the Beast          | 205         | 89   | 116    | 0.4341 
Falling Kingdom         | 246         | 106  | 140    | 0.4309 
Journey to Avalon       | 205         | 86   | 119    | 0.4195 
Blue Faerie's Boon      | 164         | 68   | 96     | 0.4146 
Purehearted Stand       | 205         | 80   | 125    | 0.3902 
Happily Ever After      | 287         | 105  | 182    | 0.3659 
Kingmaker               | 246         | 85   | 161    | 0.3455 

Damage Type Winrate
name   | appearances | wins | losses | winrate
-------+-------------+------+--------+--------
melee  | 1804        | 921  | 883    | 0.5105 
ranged | 1886        | 946  | 940    | 0.5016 
mixed  | 1230        | 578  | 652    | 0.4699 

Last Adventurer Standing Rate by Adventurer
name                      | appearances | last_stands | last_standing_rate
--------------------------+-------------+-------------+-------------------
Risa Redcloak             | 205         | 31          | 0.1512            
Porcus III                | 164         | 22          | 0.1341            
Witch-Hunter Gretel       | 205         | 27          | 0.1317            
Sir Roland                | 205         | 25          | 0.1220            
Rumpelstiltskin           | 164         | 16          | 0.0976            
Pinocchio, Cursed Puppet  | 164         | 15          | 0.0915            
Lady of Reflections       | 205         | 18          | 0.0878            
Hunold the Piper          | 205         | 16          | 0.0780            
Green Knight              | 164         | 12          | 0.0732            
Frederic the Beastslayer  | 205         | 9           | 0.0439            
Little Jack               | 246         | 10          | 0.0407            
Rapunzel the Golden       | 246         | 10          | 0.0407            
Prince Charming           | 287         | 9           | 0.0314            
Reynard, Lupine Trickster | 205         | 5           | 0.0244            
Witch of the Woods        | 205         | 4           | 0.0195            
Ashen Ella                | 164         | 3           | 0.0183            
Robin, Hooded Avenger     | 246         | 3           | 0.0122            
Lucky Constantine         | 164         | 1           | 0.0061            
Aldric, Lost Lamb         | 205         | 1           | 0.0049            
Sea Wench Asha            | 205         | 1           | 0.0049            
Briar Rose                | 246         | 0           | 0.0000            
March Hare                | 205         | 0           | 0.0000            
Matchstick Liesl          | 246         | 0           | 0.0000            
Snowkissed Aurora         | 164         | 0           | 0.0000            

Last Adventurer Standing Rate by Class
name    | appearances | last_stands | last_standing_rate
--------+-------------+-------------+-------------------
Warden  | 574         | 65          | 0.1132            
Fighter | 656         | 68          | 0.1037            
Warlock | 533         | 32          | 0.0600            
Noble   | 697         | 31          | 0.0445            
Rogue   | 574         | 22          | 0.0383            
Ranger  | 697         | 12          | 0.0172            
Mage    | 574         | 7           | 0.0122            
Cleric  | 615         | 1           | 0.0016            

Item Winrate
name              | appearances | wins | losses | winrate
------------------+-------------+------+--------+--------
Vampire Fang      | 164         | 117  | 47     | 0.7134 
Misericorde       | 410         | 243  | 167    | 0.5927 
Heart Amulet      | 492         | 274  | 218    | 0.5569 
Holy Diadem       | 492         | 255  | 237    | 0.5183 
Health Potion     | 41          | 21   | 20     | 0.5122 
Main-Gauche       | 369         | 183  | 186    | 0.4959 
Family Seal       | 861         | 408  | 453    | 0.4739 
Crafty Shield     | 656         | 309  | 347    | 0.4710 
Arcane Focus      | 287         | 133  | 154    | 0.4634 
Hunter's Net      | 287         | 132  | 155    | 0.4599 
Spiked Mail       | 205         | 93   | 112    | 0.4537 
Ancient Hourglass | 82          | 37   | 45     | 0.4512 
Lightning Boots   | 164         | 72   | 92     | 0.4390 
Iron Buckler      | 246         | 105  | 141    | 0.4268 
Smoke Bomb        | 164         | 63   | 101    | 0.3841 

Top 10 Adventurer Pairings by Winrate
name                                   | appearances | wins | losses | winrate
---------------------------------------+-------------+------+--------+--------
Ashen Ella + Hunold the Piper          | 41          | 34   | 7      | 0.8293 
Ashen Ella + Rapunzel the Golden       | 41          | 34   | 7      | 0.8293 
Hunold the Piper + Rapunzel the Golden | 41          | 34   | 7      | 0.8293 
Little Jack + Risa Redcloak            | 41          | 33   | 8      | 0.8049 
Rapunzel the Golden + Risa Redcloak    | 41          | 33   | 8      | 0.8049 
Green Knight + Matchstick Liesl        | 41          | 31   | 10     | 0.7561 
Little Jack + Matchstick Liesl         | 41          | 31   | 10     | 0.7561 
Matchstick Liesl + Witch of the Woods  | 82          | 59   | 23     | 0.7195 
Matchstick Liesl + Witch-Hunter Gretel | 123         | 88   | 35     | 0.7154 
Matchstick Liesl + Risa Redcloak       | 41          | 29   | 12     | 0.7073 

Top 10 Adventurer Sets by Winrate
name                                                                            | appearances | wins | losses | winrate
--------------------------------------------------------------------------------+-------------+------+--------+--------
Risa Redcloak | Crimson Fury | Feint + Rend | Vampire Fang                      | 41          | 34   | 7      | 0.8293 
Matchstick Liesl | Cauterize | Heal + Smite | Heart Amulet                      | 82          | 63   | 19     | 0.7683 
Witch of the Woods | Crawling Abode | Fire Blast + Thunder Call | Arcane Focus  | 41          | 31   | 10     | 0.7561 
Witch-Hunter Gretel | Hot Mitts | Intimidate + Strike | Misericorde             | 82          | 61   | 21     | 0.7439 
Matchstick Liesl | Flame of Renewal | Bless + Heal | Holy Diadem                | 82          | 60   | 22     | 0.7317 
Matchstick Liesl | Cauterize | Bless + Smite | Family Seal                      | 41          | 30   | 11     | 0.7317 
Risa Redcloak | Wolf's Pursuit | Cleave + Intimidate | Vampire Fang             | 41          | 30   | 11     | 0.7317 
Witch of the Woods | Crawling Abode | Fire Blast + Freezing Gale | Arcane Focus | 41          | 30   | 11     | 0.7317 
Witch-Hunter Gretel | Shove Over | Intimidate + Strike | Misericorde            | 41          | 30   | 11     | 0.7317 
Hunold the Piper | Haunting Rhythm | Fleetfooted + Post Bounty | Misericorde    | 82          | 58   | 24     | 0.7073 

Top 10 Archetypes by Winrate
name                | appearances | wins | losses | winrate
--------------------+-------------+------+--------+--------
Shock Tower         | 41          | 34   | 7      | 0.8293 
Crimson Execution   | 41          | 33   | 8      | 0.8049 
Belligerent Bargain | 41          | 31   | 10     | 0.7561 
Burn Tribunal       | 41          | 30   | 11     | 0.7317 
Burned Reprieve     | 41          | 29   | 12     | 0.7073 
Cinder Wolves       | 41          | 29   | 12     | 0.7073 
Healing Denial      | 41          | 29   | 12     | 0.7073 
Blood Mirror        | 41          | 28   | 13     | 0.6829 
Feigned Winter      | 41          | 28   | 13     | 0.6829 
Beast and Briar     | 41          | 24   | 17     | 0.5854 

Average Damage per Class
name    | appearances | total_damage | average_damage
--------+-------------+--------------+---------------
Fighter | 656         | 310941.0000  | 473.9954      
Rogue   | 574         | 204113.0000  | 355.5976      
Ranger  | 697         | 197288.0000  | 283.0531      
Mage    | 574         | 139558.0000  | 243.1324      
Noble   | 697         | 165266.0000  | 237.1105      
Warlock | 533         | 123391.0000  | 231.5028      
Warden  | 574         | 92410.0000   | 160.9930      
Cleric  | 615         | 30580.0000   | 49.7236       

Average Game Length per Class
name    | appearances | total_rounds | average_game_length
--------+-------------+--------------+--------------------
Warden  | 574         | 10704.0000   | 18.6481            
Cleric  | 615         | 10523.0000   | 17.1106            
Ranger  | 697         | 9738.0000    | 13.9713            
Noble   | 697         | 9220.0000    | 13.2281            
Warlock | 533         | 6821.0000    | 12.7974            
Mage    | 574         | 7184.0000    | 12.5157            
Rogue   | 574         | 7112.0000    | 12.3902            
Fighter | 656         | 7932.0000    | 12.0915            
